Producto;Precio
Pollo Entero Fresco con Menudencia;7.9
Chuleta de Lomo de Cerdo con Piel;16.5
Chuleta de Pierna de Cerdo sin Piel x Kg;15.49
Chuleta Parrillera de Cerdo;16.9
Carne Molida EL BUEN CORTE x kg;23.9
Filete Pechuga Corte Mariposa Empacada al vacío SAN FERNANDO;24.9
Pechuga Especial de Pollo Empacada al vacío SAN FERNANDO;17.5
Filete de Tilapia BELL'S Bolsa 1Kg;17.4
Muslo de Pollo Empacada al vacío SAN FERNANDO;16.5
Muslos de Pollo SADIA Bolsa 1kg;12.9
Bisteck de Res EL BUEN CORTE;38.9
Guiso Tierno de Res EL BUEN CORTE;34.9
Carne Molida Light de Res Empacada al vacío EL BUEN CORTE;34.9
Carne Molida de Pavita x500g;11.5
Piernitas de Pollo Congeladas SADIA Bolsa 1Kg;11.9
Medallón de Pavita SAN FERNANDO Congelado;22.9
Pechuga de Pavita en Trozos SAN FERNANDO Congelado;13.5
Pierna con Encuentro de Pollo Empacada al vacío SAN FERNANDO;13.9
Sasami de Pollo Empacada al vacío SAN FERNANDO;25.9
Hígado de pollo Empacada al vacío SAN FERNANDO;8.9
Pechuga Entera de Pollo Empacada al vacío SAN FERNANDO;14.9
Pierna de Pollo Empacada al vacío SAN FERNANDO;15.9
Molleja de Pollo SADIA Bolsa 1kg;7.5
Guiso Especial de Res EL BUEN CORTE;37.9
Chuleta de Brazuelo de Cerdo x Kg;17.9
Filete de Basa BELL'S Bolsa 1Kg;11.9
Hígado de Res Importado;13.9
Sangrecita de Pollo REDONDOS Bolsa 500g;6.4
Carne Molida de Cerdo SAN FERNANDO Paquete 500g;15.5
Asado Rejerey Porcionado FRIGON x Kg;29.6
Rodaja de Pierna de Pavita SAN FERNANDO Congelado;17.9
Filete Pierna Pollo Sin Piel Empacada al vacío SAN FERNANDO;21.9
Patas de Pollo Empacada al vacío SAN FERNANDO;8.5
Corazón de Pollo Empacada al vacío SAN FERNANDO;12.9
Ala de Pollo Empacada al vacío SAN FERNANDO;15.9
Filete Pierna Pollo con Piel Empacada al vacío SAN FERNANDO;20.9
Filete de Tilapia FINE FOODS Bolsa 1kg;19.4
Mondongo Cau Cau Congelado;15.8
Lomo Saltado de Res EL BUEN CORTE;42.9
Panceta de Cerdo con Hueso y Piel EL BUEN CORTE Fresco x kg;29.89
Guiso de Cerdo Nacional Fresco x kg;19.9
Pollo Fresco con Menudencia Trozado en 8 Piezas;11.5
Muslo de Pollo SAN FERNANDO Light x Kg;19.9
Carne Molida de Cerdo EL BUEN CORTE x Kg;19.9
Filete de Merluza SEAFROST S/P 500g;12.6
Porciones de Trucha BELL'S Bolsa 500g;27.9
Colita de Cuadril FRIGON x Kg;36.4
Picaña FRIGON x Kg;59.4
Lomo Fino Porcionado FRIGON x kg;74.9
Langostinos Crudos AZUL MARINO Bolsa 300g;16.0
Chuleta de Pavita SAN FERNANDO Congelado x Kg;25.9
Pollo Entero ARTISAN Libre de Antibióticos x kg;17.49
Molleja de Pollo Empacada al vacío SAN FERNANDO;13.9
Filete de Pechuga de Pollo ARTISAN Libre de Antibióticos x kg;45.79
Deli Bistec SAN FERNANDO Bolsa 4un;9.9
Malaya de Res EL BUEN CORTE;34.9
Cuadril de Cadera de Res EL BUEN CORTE;52.9
Porciones de Salmón AQUA Bolsa 500g;44.6
Porciones de Atún BELL'S Bolsa 400g;19.1
Bife de Lomo de Cerdo EL BUEN CORTE;25.9
Alitas Sazonadas Buffalo Wings REDONDOS Caja 400g;13.0
Punta de Pecho de Res;23.9
Churrasco Largo de Res;37.9
Trucha Eviscerada;17.7
Chuleta de Lomo de Cerdo;21.9
Filete de Muslo de Pavita;21.5
Chanfainita de Res;13.0
Mixtura de Mariscos SEAFROST Bolsa 500g;16.9
Filete de Salmón PESCATORE x Kg;31.9
Porciones de Salmón PESCATORE Bolsa 500g;14.8
Frigon Guiso Especial x Kg;34.9
Chicharrón de Cerdo REDONDOS Bolsa 300g;19.5
Pollo Entero Congelado PERDIX sin menudencia Bolsa 1.4 kg;15.2
Bife De Vacio FRIGON x Kg;33.0
Bife Ancho FRIGON x Kg;43.2
Bola De Lomo Porcionado FRIGON x Kg;29.6
Porciones de Salmón sin Piel UMIFOODS Bolsa 1Kg;44.9
Langostinos Pelado y Desvenado Grandes SANTA PRISCILA Bolsa 454g;23.7
Nuggets de Tilapia SANTA PRISCILA Bolsa 454g;16.9
Pierna Especial de Pollo Empacada al vacío SAN FERNANDO;15.49
Espinazo de pollo Empacada al vacío SAN FERNANDO;8.9
Muslitos de Pollo ARTISAN Libre de Antibióticos x kg;26.5
Sasami de Pollo ARTISAN Libre de Antibióticos x kg;41.8
Pollo Trozado Macerado SAN FERNANDO Asu Olla! Sazón Pollo Pollada Bolsa 800g;14.5
Medallones de Atún Congelado Bolsa 1Kg;42.4
Pejerrey PESCANOVA Bolsa 454g;14.5
Mondongo Italiano x Kg;15.8
Pollo Entero Aderezo Leña REDONDOS Paquete 1Kg;16.9
Mejillones AZUL MARINO Paquete 300g;10.9
Piernas y Muslos Aderezo Pachamanca REDONDOS Bolsa 780g;16.9
Langostinos Precocidos BELL'S Bolsa 300g;19.1
Panceta EL BUEN CORTE sin Hueso con Piel;33.9
Pollada Criolla REDONDOS Media Pechuga y Pierna con Encuentro Bolsa 800g;16.9
Filete de Salmón Fresco;65.0
Panceta de Cerdo con Hueso sin Piel EL BUEN CORTE;29.89
Asado de Cerdo EL BUEN CORTE;24.9
Filete de Pechuga de Pollo Oriental REDONDOS Bandeja 620g;16.9
Filete de Pechuga de Pollo Criollo REDONDOS Bolsa 620g;16.9
Bondiola de Cerdo EL BUEN CORTE;29.9
Lomito Fino de Cerdo EL BUEN CORTE;34.9
Albóndigas de Carne de Res RANCHERAS Bolsa 600g;23.9
Medallón de Lomo de Cerdo SAN FERNANDO;36.5
Osobuco de Res;25.9
Pejerrey BELL'S Bolsa 500g;14.99
Filete de Tilapia Importado;19.4
Chuleta de Pierna de Cerdo con Piel x Kg;18.9
Pescado Bonito Entero Fresco;9.5
Hamburguesa de Res Premium LA FLORENCIA;25.9
Pierna de Pollo SAN FERNANDO Light x Kg;18.5
Alitas BBQ Maceradas y Marinadas SAN FERNANDO Bolsa 16un;24.9
Porciones de Salmón PESCATORE 500g;15.49
Filetes Alaska Pollock BUENASO Bolsa 1Kg;11.9
Filete de Tilapia Apanada SANTA PRISCILA Bolsa 454g;30.39
Alita de Pollo ARTISAN Libre de Antibióticos x kg;20.9
Filete de Pierna sin Piel ARTISAN Libre de Antibióticos x kg;36.5
Porciones de Salmón VADIMAR Bolsa 500g;42.4
Pollo Trozado Macerado SAN FERNANDO Asu Olla! Sazón Pollo Al Horno Bolsa 800g;14.5
Pollo Sazón Brasa SAN FERNANDO Bolsa 1.4Kg;22.5
Piernas y Muslos Aderezo Estofado REDONDOS Bolsa 780g;16.9
Pollada Criolla REDONDOS Pierna con Encuentro Bolsa 780g;16.9
Albóndiga de Res EL BUEN CORTE;29.9
Filete de Trucha Fresco;42.36
Solomillo de Cerdo SAN FERNANDO;43.5
Bife Lomo de Cerdo SAN FERNANDO;33.5
Trucha Dehuesada;30.9
Filete de Basa;15.9
Pernil de Cerdo EL BUEN CORTE;18.9
Pollo Fresco Light Sin Piel;14.9
Enrollado de Pollo Americano San Fernando unid x 1.3Kg;41.9
Enrollado de pollo con Verduras REDONDOS Paquete 1.3Kg;40.9
Anillas de Calamar PESCATORE Bolsa 500g;14.9
Langostinos BELL'S Bolsa 300g;23.9
Entraña Fina CORTE GAUCHO x Kg;107.9
Picaña CORTE GAUCHO x Kg;76.4
Langostino Empanizado PESCATORE Bolsa 500g;26.5
Anillas Calamar Empanizadas PESCATORE Bolsa 500g;22.9
Entraña Fina OREGON FOOD'S x kg;139.9
Lomito Saltado de Cerdo Duroc REDONDOS Paquete 500g;19.9
Filete Empanizado Alaska Pollock PESCATORE Bolsa 500g;13.9
Filete Redfish BUENASO Bolsa 1Kg;14.9
Corazón de Vacuno Macer SCHILCAYO Refrigerado xKg;35.5
REDONDOS Cerdo Sabor Adobo Bolsa 530g;22.5
Filete de Trucha Premium PISCIS Congelado x kg;53.4
Bondiola de Cerdo REDONDOS Duroc x kg;35.5
Langostino Apanado SANTA PRISCILA Bolsa 454g;29.89
Conchas de Abanico AZUL MARINO Media Valva Bolsa 6un;23.9
Picaña Americana BIG RANCH;84.9
Piernitas de Pollo ARTISAN Libre de Antibióticos x kg;26.5
Trucha Ahumada MAR ANDINO Bolsa 250g;37.39
Pollo Trozado Macerado SAN FERNANDO Asu Olla! Sazón Pollo Oriental Bolsa 800g;14.5
Langostinos Precocidos AZUL MARINO Bolsa 300g;27.9
Anillas de Calamar Empanizadas PESCANOVA Bolsa 500g;19.9
Piernas y Muslos Aderezo Criollo REDONDOS Bolsa 780g;16.9
Langostino Crudo Pelado PESCANOVA Bolsa 300g;18.5
Baby Back Ribs de Cerdo OREGON FOOD'S x Kg;44.9
Salmón Ahumado SOUTH WIND Bolsa 100g;20.5
Mixtura de Mariscos BELL'S Bolsa 500g;23.9
Filete de Salmón Congelado;67.9
Baby Chicken Congelado REDONDOS;21.99
Pechuga Especial de Pavita SAN FERNANDO;23.7
Pejerrey Mariposa PESCATORE Bolsa 1Kg;30.9
Pollo Entero sin Piel ARTISAN Light x Kg;24.5
Colita de Cuadril CORTE GAUCHO x Kg;66.2
Lomo Fino CORTE GAUCHO x Kg;127.4
