Producto;Precio
Ensalada de Piña, Sandía y Papaya BELL'S Bandeja 300g;5.69
Manzana Delicia;4.06
Beterraga x Atado;4.4
Tomate Italiano BELL'S Bolsa 1Kg;5.5
Ensalada Rusa BELL'S Bandeja 500g;9.49
Cebolla Roja;2.97
Tomate Italiano;4.68
Limón Ácido;4.6
Zanahoria;2.86
Mandarina W MURCOTT;2.2
Zapallo Macre;2.3
Palta Fuerte;8.67
Choclo Entero un;1.5
Camote Amarillo Procesado;1.88
Papa Blanca Yungay;2.17
Fresa IMPERIAL Bandeja 500g;10.9
Blueberries BELL'S FRESCOS Bandeja 500g;10.8
Papa Amarilla Tumbay;6.68
Papaya;4.7
Naranja para Jugo;1.88
Vainita Americana;7.08
Ají Amarillo;5.5
Lechuga Americana BELL's Bolsa 300g;1.9
Papa Blanca;2.2
Espinaca BELL'S Bolsa 350g;3.9
Pimiento Morrón;8.29
Pepinillo;1.98
Brócoli;3.9
Ajo Entero;15.68
Apio Atado;2.2
Papa Amarilla Peruanita;5.86
Lechuga Crespa BELL'S;1.8
Pera Packhams Importada;5.88
Granadilla Oxapampa x unidad;0.9
Cebolla Blanca;2.57
Limón Tahití;4.49
Arverja Congelada BELL'S Bolsa 500g;6.9
Plátano Bizcochito BELL'S;5.4
Plátano de Isla BELL'S;3.89
Palta Fuerte BELL'S Madura;11.9
Espinaca Bebé BELL'S Bolsa 150g;3.1
Albahaca BELL'S Bolsa 80g;1.9
Champiñon Entero BELL'S Bandeja 200g;4.9
Pepino Holandés BELL'S;3.39
Piña Golden;3.1
Sandía;1.8
Kion;9.9
Manzana Royal Gala Importada;6.68
Melón Coquito;3.59
Maracuyá;5.48
Zapallo Italiano x unidad;1.5
Poro Entero un;1.99
Olluco;4.68
Arveja;8.36
Mango Edward;5.18
Manzana Roja Importada;7.08
Manzana Verde Importada;7.36
Blueberries BELL'S FRESCOS Bandeja 300g;6.0
Fresa Entera Congelada BELL'S Bolsa 1kg;12.9
Tomate Redondo;4.99
Lechuga Crespa Hidropónica BELL'S Bolsa 200g;2.89
Lechuga Seda Hidropónica BELL'S Bolsa 200g;3.39
Papa Prefrita Congelada AVIKO Bolsa 1kg;11.9
Espárragos Verdes BELL'S FRESCOS Paquete 300g;6.1
Tomate Cherry BELL'S Bandeja;4.7
Rabanito BELL'S Bolsa 400g;3.99
Cebolla China BELL'S Bolsa 320g;3.3
Aguaymanto Pelado BELL'S Bandeja 200g;4.49
Perejil BELL'S Bolsa 60g;1.99
Champiñon Picado BELL'S Bandeja 200g;4.9
Palta Hass Madura LA CASERITA Empaque 500g;5.2
Uva Verde sin Pepa;19.5
Yuca;5.1
Haba Verde;5.9
Coliflor Un;5.79
Melocotón Premium;10.5
Papa Huayro;6.29
Maíz Morado;9.17
Camote Morado;2.99
Plátano Bellaco;5.49
Papa Cocktail;1.99
