Producto;Precio más bajo (S/)
ALACENA Mayonesa Doypack 850 g;18
SAN JOSE Turrón San José Empaque 500 g;17.9
ALACENA Crema de Ají Tari Doypack 400 g;12.5
TOTTUS Premezcla Fudge Brownie Caja 310 g;7.5
TOTTUS Puré de Papas Instantáneo Empaque 250 g;7.7
TOTTUS Pack Menestra Lenteja 500 g + Arveja 500 g + Frijol Canario 500 g;15.5
FLORIDA Filete de Atún en Aceite Vegetal Lata 140 g;5.5
MOLITALIA Fideo Tornillo Bolsa 235 g;2.3
TOTTUS Maíz Pop Corn Menestra Bolsa 1 Kg;6.1
BARILLA Salsa Pesto Genovese Envase 190 g;21.9
AJINOMOTO Sopa Instantánea Ajinomen Sabor Gallina Picante Empaque 80 g;2
Sopa Shin Ramyun Nongshim Spicy Chicken Empaque 120 g;8.7
PRIMOR Aceite Vegetal Premium Botella 900 mL;9.5
UMSHA Gelatina Sabor Fresa Bolsa 120 g;3.7
BADIA Ajo en Polvo Envase 297 g;28.9
BLANCA FLOR Harina de Trigo Preparada Bolsa 1 Kg;8.2
MOLITALIA Fideo Canuto Bolsa 235 g;2.3
UNIVERSAL Gelatina Fresa Empaque 130 g;4.3
TOTTUS Azúcar Rubia Bolsa 5 Kg;14.9
DON VITTORIO Spaguetti Paquete 950 g;5.3
NESTLE Leche Condensada Nestlé Lata 393 g;7
UNIVERSAL Colapiz Sin Sabor Bolsa 20 g;3.1
TOTTUS Keke de Plátano Rectangular;9.9
AJINOMOTO Sazonador Bolsa 250 g;6.1
TOTTUS Turrón Doña Pepa Empaque 1 Kg;17.9
HARMLESS Salsa BBQ Envase 390 g;15.9
HARMLESS Salsa Mostaza Envase 390 g;15.9
DON VITTORIO Salsa Roja Completa Doypack 400 g;5.5
SANTOLIVO Aceite Oliva Extra Media Botella 1 L;83.2
SANTOLIVO Aceite Oliva Extra Media Botella 500 mL;49.9
SANTOLIVO Aceite Oliva Extra Media Botella 250 mL;30
DUW Conserva Jamón Endiablado Envase 115 g;10.4
DUW Conserva Jamón Endiablado Envase 54 g;7.2
OLI21 Sal de Maras Molida Envase 145 g;8.2
TOTTUS Fideos Cabello de Ángel Bolsa 250 g;1.7
OLI21 Sal de Maras Ajíes Envase 135 g;11.8
OLI21 Sal de Maras con Ajo Envase 135 g;11.8
TOTTUS Conserva de Piña en Rodajas 565 g;7.1
GATTI Harina de Chía Doypack 250 g;10
CASA VERDE Salsa Sabor Queso Envase 170 g;7.5
BELLA HOLANDESA Leche Condensada Lata 397 g;6.5
CASA VERDE Salsa Mexicana Envase 180 g;7.5
Quinua Instantánea Productos Andinos Bolsa 400 g;18.3
TOTTUS SOPA DE FIDEOS POLLO TOTTUSX 70 GR;2.4
REAL Sólido de Atún en Aceite Girasol Lata 140 g;6.9
CASA VERDE Lentejas Aderezadas Envase 360 g;6.7
CASA VERDE Quinua Bicolor Envase 240 g;6.7
CASA VERDE Garbanzos Envase 340 g;6.7
Aceite Vegetal del Cielo Botella 2 L;14.6
DON VITTORIO Salsa Roja Completa Doypack 400 g;5.5
TOTTUS Keke de Plátano Rectangular;9.9
TOTTUS Maíz Pop Corn Menestra Bolsa 1 Kg;6.1
UNIVERSAL Gelatina Sin Azúcar Fresa Caja 19 g;4
AJINOMOTO Sopa Instantánea Ajinomen Sabor Gallina Empaque 80 g;2
NIVEA Bálsamo Labial Cherry Envase 4.7 g;18.5
MOLITALIA Fideos Spaghetti Empaque 450 g;3.2
DURYEA Maizena Almidón de Maíz Caja 500 g;10.5
ALACENA Ketchup Doypack 380 g;9.5
DON VITTORIO Fetuccini Paquete 950 g;5.3
TOTTUS Keke de Naranja Rectangular;9.9
AJINOMOTO Sazonador Bolsa 250 g;6.1
AJINOSILLAO Sillao Ajino Sillao Botella 500 mL;4.3
AJINOMOTO Sopa Instantánea Ajinomen Sabor Gallina Picante Empaque 80 g;2
NESTLE Leche Condensada Nestlé Lata 393 g;7
TOTTUS Lenteja Bebé Menestra Bolsa 1 Kg;8.9
PAN Harina de Maíz Blanco Precocido Bolsa 1 Kg;7.5
MOLITALIA Sémola de Trigo Bolsa 200 g;1.8
TOTTUS Fideos Caracol Bolsa 250 g;1.7
MOLITALIA Fideo Cabello de Ángel Bolsa 250 g;2.3
TOTTUS Trigo Mote Menestra Bolsa 500 g;4.3
COSTENO Maíz Pop Corn Menestra Costeño Bolsa 500 g;2.9
TOTTUS Keke Marmoleado Rectangular;9.9
TOTTUS Keke de Vainilla 430 g;9.9
GLORIA Leche Condensada Lata 393 g;6.9
TOTTUS Fideos Canuto Rayado Bolsa 250 g;1.7
TOTTUS Arveja Partida Menestra Bolsa 500 g;3.3
TOTTUS Fideos Tornillo Bolsa 250 g;1.7
MOLITALIA Salsa Tomate Pomarola Clasica Bolsa 145 g;1.9
ALACENA Mayonesa Doypack 235 g;8.6
AJINOMOTO Caldo Concentrado Doña Gusta Sabor Gallina Caja 6 Und;2.2
MOLITALIA Salsa Tomate Pomarola Clasica Pack 6 Und;11.1
TOTTUS Keke de Naranja Redondo;14.37
COSTENO Arveja Partida Menestra Costeño Bolsa 500 g;2.9
REAL Filete de Atún en Aceite Girasol Lata 140 g;4.9
MOLITALIA Fideo Macarrón Bolsa 235 g;2.3
DELEITE Aceite Vegetal Premium Botella 5 L;36.9
PEDIASURE Pediasure® Líquido Chocolate 220ml;10.5
MOLITALIA Harina Preparada Bolsa 1 Kg;8.2
TOTTUS Pimienta Negra Molida Empaque 60 g;8.4
ACONCAGUA Duraznos en Almíbar 822 g;12.9
UMSHA Gelatina Sabor Fresa Bolsa 120 g;3.7
TOTTUS Ajo en Polvo Envase 50 g;7
COSTENO Sazonador Pop Corn Costeño Mantequilla Envase 81 g;7.9
MOLITALIA Fideo Tornillo Bolsa 235 g;2.3
